id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,product_type,custom_label_0
remera-guido-negro,REMERA GÜIDO OVERSIZED — NEGRO LOGO BLANCO,"REMERA DE MANGA CORTA CON CUELLO REDONDO, 100% ALGODÓN. DESGASTES HECHOS A MANO EN COSTURAS Y BORDES. ESTAMPA EN SERIGRAFÍA SOBRE EL PECHO. CALCE RELAJADO CON HOMBROS CAÍDOS. HECHA EN ARGENTINA.",in stock,new,60000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/remera-guido-negro,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-negro-1.webp,"https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-negro-2.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-negro-3.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-negro-4.webp",GÜIDO CAPUZZI,REMERAS,REMERAS
remera-guido-rojo,REMERA LOGO GÜIDO OVERSIZED — NEGRO LOGO ROJO,"REMERA DE MANGA CORTA CON CUELLO REDONDO, 100% ALGODÓN. DESGASTES HECHOS A MANO EN COSTURAS Y BORDES. ESTAMPA EN SERIGRAFÍA SOBRE EL PECHO. CALCE RELAJADO CON HOMBROS CAÍDOS. HECHA EN ARGENTINA.",in stock,new,60000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/remera-guido-rojo,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-rojo-1.webp,"https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-rojo-2.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-rojo-3.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-rojo-4.webp",GÜIDO CAPUZZI,REMERAS,REMERAS
remera-guido-blanco,REMERA GÜIDO OVERSIZED — BLANCO LOGO NEGRO,"REMERA DE MANGA CORTA CON CUELLO REDONDO, 100% ALGODÓN. DESGASTES HECHOS A MANO EN COSTURAS Y BORDES, CON MICROROTURAS SOBRE EL TAPA COSTURAS QUE RECORRE DE HOMBRO A HOMBRO PASANDO POR EL CUELLO. ESTAMPA EN SERIGRAFÍA SOBRE EL PECHO. CALCE RELAJADO CON HOMBROS CAÍDOS. HECHA EN ARGENTINA.",in stock,new,60000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/remera-guido-blanco,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-blanco-1.webp,"https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-blanco-2.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-blanco-3.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-blanco-4.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-blanco-5.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-blanco-6.webp",GÜIDO CAPUZZI,REMERAS,REMERAS
remera-guido-strass-rojo,REMERA LOGO GÜIDO STRASS — LOGO ROJO,"REMERA DE MANGA CORTA CON CUELLO REDONDO, 100% ALGODÓN. DESGASTES HECHOS A MANO EN COSTURAS Y BORDES. ESTAMPA EN SERIGRAFÍA SOBRE EL PECHO CON STRASS APLICADO A MANO, PIEZA POR PIEZA. CALCE RELAJADO CON HOMBROS CAÍDOS. HECHA EN ARGENTINA.",in stock,new,65000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/remera-guido-strass-rojo,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-strass-rojo-1.webp,"https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-strass-rojo-2.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-strass-rojo-3.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-strass-rojo-4.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-strass-rojo-5.webp",GÜIDO CAPUZZI,REMERAS,REMERAS
remera-guido-strass-blanco,REMERA LOGO GÜIDO STRASS — LOGO BLANCO,"REMERA DE MANGA CORTA CON CUELLO REDONDO, 100% ALGODÓN. DESGASTES HECHOS A MANO EN COSTURAS Y BORDES. ESTAMPA EN SERIGRAFÍA SOBRE EL PECHO CON STRASS APLICADO A MANO, PIEZA POR PIEZA. CALCE RELAJADO CON HOMBROS CAÍDOS. HECHA EN ARGENTINA.",in stock,new,65000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/remera-guido-strass-blanco,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-strass-blanco-1.webp,"https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-strass-blanco-2.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-strass-blanco-3.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-strass-blanco-4.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-guido-strass-blanco-5.webp",GÜIDO CAPUZZI,REMERAS,REMERAS
remera-afligida-negro,REMERA AFLIGIDA BAGGED TEE — NEGRO,"REMERA DE MANGA CORTA, 100% ALGODÓN SUAVE. ROTURAS HECHAS A MANO DEBAJO DEL CUELLO Y EN LA COSTURA INFERIOR. INTERVENCIÓN CON SALPICADURAS DE PINTURA QUE HACEN CADA PRENDA ÚNICA. ESTAMPA EN SERIGRAFÍA SOBRE EL PECHO. HECHA EN ARGENTINA.",in stock,new,65000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/remera-afligida-negro,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-negro-1.webp,"https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-negro-2.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-negro-3.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-negro-4.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-negro-5.webp",GÜIDO CAPUZZI,REMERAS,REMERAS
remera-afligida-navy,REMERA AFLIGIDA BAGGED TEE — NAVY,"REMERA DE MANGA CORTA, 100% ALGODÓN SUAVE. ROTURAS HECHAS A MANO DEBAJO DEL CUELLO Y EN LA COSTURA INFERIOR. INTERVENCIÓN CON SALPICADURAS DE PINTURA QUE HACEN CADA PRENDA ÚNICA. ESTAMPA EN SERIGRAFÍA SOBRE EL PECHO. HECHA EN ARGENTINA.",in stock,new,65000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/remera-afligida-navy,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-navy-1.webp,"https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-navy-2.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-navy-3.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-navy-4.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-navy-5.webp",GÜIDO CAPUZZI,REMERAS,REMERAS
remera-afligida-blanco,REMERA AFLIGIDA BAGGED TEE — BLANCO,"REMERA DE MANGA CORTA, 100% ALGODÓN SUAVE. ROTURAS HECHAS A MANO DEBAJO DEL CUELLO Y EN LA COSTURA INFERIOR. INTERVENCIÓN CON SALPICADURAS DE PINTURA QUE HACEN CADA PRENDA ÚNICA. ESTAMPA EN SERIGRAFÍA SOBRE EL PECHO. HECHA EN ARGENTINA.",in stock,new,65000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/remera-afligida-blanco,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-blanco-1.webp,"https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-blanco-2.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-blanco-3.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-blanco-4.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/remera-afligida-blanco-5.webp",GÜIDO CAPUZZI,REMERAS,REMERAS
jean-selvedge-suelto-indigo,JEAN DE DENIM SELVEDGE JAPONES SUELTO — ÍNDIGO,"DENIM SELVEDGE JAPONÉS DE NIHON MENPU, CRUDO DE 13 OZ. TEJIDO EN KOJIMA, OKAYAMA, LA CAPITAL DEL DENIM. ÍNDIGO DE TONO NATURAL, ÚNICO EN EL PAÍS. FIT SUELTO: LA MISMA SILUETA SUTILMENTE BOOTCUT DEL CORTE REGULAR, EN UN CALCE MÁS AMPLIO Y RELAJADO. BOTONES Y REMACHES DE LA MARCA. BADANA DE CUERO EN LA PARTE POSTERIOR. HECHO EN ARGENTINA.",in stock,new,290000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/jean-selvedge-suelto-indigo,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-suelto-indigo-1.webp,"https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-suelto-indigo-2.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-suelto-indigo-3.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-suelto-indigo-4.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-suelto-indigo-5.webp",GÜIDO CAPUZZI,PANTALONES / JEANS,PANTALONES / JEANS
jean-selvedge-regular-indigo,JEAN DE DENIM SELVEDGE JAPONES REGULAR — ÍNDIGO,"DENIM SELVEDGE JAPONÉS DE NIHON MENPU, CRUDO DE 13 OZ. TEJIDO EN KOJIMA, OKAYAMA, LA CAPITAL DEL DENIM. ÍNDIGO DE TONO NATURAL, ÚNICO EN EL PAÍS. FIT REGULAR, SUTILMENTE BOOTCUT, QUE OFRECE UN CALCE RECTO Y CÓMODO. BOTONES Y REMACHES DE LA MARCA. BADANA DE CUERO EN LA PARTE POSTERIOR. HECHO EN ARGENTINA.",in stock,new,290000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/jean-selvedge-regular-indigo,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-regular-indigo-1.webp,"https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-regular-indigo-2.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-regular-indigo-3.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-regular-indigo-4.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-regular-indigo-5.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-regular-indigo-6.webp",GÜIDO CAPUZZI,PANTALONES / JEANS,PANTALONES / JEANS
jean-selvedge-regular-negro,JEAN DE DENIM SELVEDGE ITALIANO REGULAR — NEGRO,"DENIM SELVEDGE ITALIANO DE CANDIANI, CRUDO DE 11 OZ. ESTE TEJIDO NACE EN LA PROVINCIA DE MILÁN, ITALIA. NEGRO PROFUNDO DE TONO NATURAL, ÚNICO EN EL PAÍS. FIT REGULAR, SUTILMENTE BOOTCUT, QUE OFRECE UN CALCE RECTO Y CÓMODO. BOTONES Y REMACHES DE LA MARCA. BADANA DE CUERO EN LA PARTE POSTERIOR. HECHO EN ARGENTINA.",in stock,new,290000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/jean-selvedge-regular-negro,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-regular-negro-1.webp,"https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-regular-negro-2.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-regular-negro-3.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-regular-negro-4.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-selvedge-regular-negro-5.webp",GÜIDO CAPUZZI,PANTALONES / JEANS,PANTALONES / JEANS
jean-pintor-wildcat,"JEAN PINTOR ""WILDCAT"" BOOTCUT — 1/1","JEAN LEVI'S 517 INTERVENIDO A MANO. PIEZA 1/1. DENIM CLÁSICO CON LAVADO NATURAL Y CORTE BOOTCUT. EL COLOR BUSCA REINTERPRETAR EL LEGADO DE HEDI SLIMANE, FUNDIENDO EL CELESTE CLÁSICO EN UN ROJO VIBRANTE. COSTURA INFERIOR ABIERTA PARA MAYOR APERTURA SOBRE EL CALZADO. BOTONES Y REMACHES DE LA MARCA Y BADANA DE CUERO NEGRA, EXCLUSIVA DE INTERVENCIONES. HECHO A MANO EN ARGENTINA",out of stock,new,150000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/jean-pintor-wildcat,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-pintor-wildcat-1.webp,"https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-pintor-wildcat-2.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-pintor-wildcat-3.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-pintor-wildcat-4.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-pintor-wildcat-5.webp",GÜIDO CAPUZZI,INTERVENCIONES,INTERVENCIONES
jean-pintor-faja,"JEAN PINTOR ""FAJA"" BOOTCUT — 1/1","JEAN LEVI'S 517 INTERVENIDO A MANO. PIEZA 1/1. DENIM CLÁSICO DE CORTE BOOTCUT. PINTADO Y ENCERADO A MANO. COSTURA INFERIOR ABIERTA PARA MAYOR APERTURA SOBRE EL CALZADO. BOTONES Y REMACHES DE LA MARCA Y BADANA DE CUERO NEGRA, EXCLUSIVA DE INTERVENCIONES. HECHO A MANO EN ARGENTINA.",out of stock,new,150000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/jean-pintor-faja,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-pintor-faja-1.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-pintor-faja-2.webp,GÜIDO CAPUZZI,INTERVENCIONES,INTERVENCIONES
jean-encerado,JEAN ENCERADO BOOTCUT — 1/1,"JEAN LEVI'S 517 INTERVENIDO A MANO. PIEZA 1/1. DENIM CLÁSICO DE CORTE BOOTCUT, RECUBIERTO A MANO CON UNA MEZCLA DE PARAFINA Y CERA DE ABEJAS APLICADA EN CALIENTE. EL ENCERADO SELLA EL TEJIDO, LE DA CUERPO Y UN BRILLO OPACO QUE SE VA QUEBRANDO CON EL USO. COSTURA INFERIOR ABIERTA PARA MAYOR APERTURA SOBRE EL CALZADO. BOTONES Y REMACHES DE LA MARCA Y BADANA DE CUERO NEGRA, EXCLUSIVA DE INTERVENCIONES. HECHO A MANO EN ARGENTINA.",in stock,new,150000.00 ARS,https://www.xn--gidocapuzzi-thb.com/shop/jean-encerado,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-encerado-1.webp,"https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-encerado-2.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-encerado-3.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-encerado-4.webp,https://www.xn--gidocapuzzi-thb.com/assets/images/products/jean-encerado-5.webp",GÜIDO CAPUZZI,INTERVENCIONES,INTERVENCIONES
